월,정류장,count
202301.0,주안역환승정류장,194
202301.0,롯데백화점(인천터미널),147
202301.0,인하대역(7번출구),99
202301.0,신기.남부종합시장(진흥사거리),57
202301.0,주안역,52
202301.0,송내역남부,47
202301.0,인하대역(1번출구),47
202301.0,남중학교,45
202301.0,토지금고시장,44
202301.0,(구)시민회관사거리,42
202302.0,주안역환승정류장,206
202302.0,롯데백화점(인천터미널),143
202302.0,인하대역(7번출구),108
202302.0,남중학교,64
202302.0,동인천,60
202302.0,신기.남부종합시장(진흥사거리),57
202302.0,주안역,55
202302.0,(구)시민회관사거리,47
202302.0,송내역남부,46
202302.0,인하대역(1번출구),44
202303.0,주안역환승정류장,200
202303.0,롯데백화점(인천터미널),103
202303.0,인하대역(7번출구),82
202303.0,동인천,60
202303.0,남중학교,54
202303.0,주안역,52
202303.0,(구)시민회관사거리,47
202303.0,신기.남부종합시장(진흥사거리),42
202303.0,인하대역(1번출구),40
202303.0,송내역남부,34
202304.0,주안역환승정류장,198
202304.0,롯데백화점(인천터미널),103
202304.0,인하대역(7번출구),79
202304.0,남중학교,58
202304.0,동인천,57
202304.0,(구)시민회관사거리,53
202304.0,동인천역,52
202304.0,주안역,51
202304.0,토지금고시장,49
202304.0,인하대역(1번출구),48
202305.0,주안역환승정류장,201
202305.0,인하대역(7번출구),104
202305.0,롯데백화점(인천터미널),102
202305.0,남중학교,62
202305.0,동인천,52
202305.0,주안역,52
202305.0,신기.남부종합시장(진흥사거리),50
202305.0,(구)시민회관사거리,42
202305.0,인하대역(1번출구),41
202305.0,송내역남부,40
202306.0,주안역환승정류장,213
202306.0,인하대역(7번출구),91
202306.0,롯데백화점(인천터미널),88
202306.0,남중학교,67
202306.0,주안역,63
202306.0,동인천,51
202306.0,인하대역(1번출구),45
202306.0,신기.남부종합시장(진흥사거리),44
202306.0,용현시장,38
202306.0,송내역남부,37
202307.0,주안역환승정류장,211
202307.0,롯데백화점(인천터미널),122
202307.0,인하대역(7번출구),97
202307.0,남중학교,67
202307.0,주안역,63
202307.0,신기.남부종합시장(진흥사거리),53
202307.0,송내역남부,48
202307.0,동인천역,45
202307.0,토지금고시장,42
202307.0,동인천,40
202308.0,주안역환승정류장,206
202308.0,인하대역(7번출구),123
202308.0,롯데백화점(인천터미널),116
202308.0,주안역,64
202308.0,남중학교,52
202308.0,신기.남부종합시장(진흥사거리),52
202308.0,인하대역(1번출구),48
202308.0,동인천,47
202308.0,송내역남부,46
202308.0,동인천역,40
202309.0,주안역환승정류장,202
202309.0,롯데백화점(인천터미널),101
202309.0,인하대역(7번출구),98
202309.0,동인천,57
202309.0,신기.남부종합시장(진흥사거리),54
202309.0,남중학교,47
202309.0,주안역,47
202309.0,동인천역,45
202309.0,송내역남부,44
202309.0,(구)시민회관사거리,43
202310.0,주안역환승정류장,206
202310.0,롯데백화점(인천터미널),105
202310.0,인하대역(7번출구),100
202310.0,주안역,66
202310.0,인하대역(1번출구),55
202310.0,남중학교,49
202310.0,동인천,49
202310.0,송내역남부,47
202310.0,동인천역,44
202310.0,신기.남부종합시장(진흥사거리),44
202311.0,주안역환승정류장,203
202311.0,인하대역(7번출구),102
202311.0,롯데백화점(인천터미널),95
202311.0,주안역,63
202311.0,동인천,56
202311.0,남중학교,52
202311.0,인하대역(1번출구),49
202311.0,신기.남부종합시장(진흥사거리),44
202311.0,(구)시민회관사거리,43
202311.0,동인천역,41
202312.0,주안역환승정류장,212
202312.0,롯데백화점(인천터미널),114
202312.0,인하대역(7번출구),99
202312.0,주안역,67
202312.0,남중학교,54
202312.0,동인천역,53
202312.0,인하대역(1번출구),52
202312.0,동인천,48
202312.0,송내역남부,47
202312.0,(구)시민회관사거리,41
